
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING       125616
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1008
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1025           0.0.0.0:0              LISTENING       680
  TCP    0.0.0.0:1026           0.0.0.0:0              LISTENING       568
  TCP    0.0.0.0:1027           0.0.0.0:0              LISTENING       708
  TCP    0.0.0.0:1028           0.0.0.0:0              LISTENING       764
  TCP    0.0.0.0:1030           0.0.0.0:0              LISTENING       752
  TCP    0.0.0.0:1031           0.0.0.0:0              LISTENING       1472
  TCP    0.0.0.0:6160           0.0.0.0:0              LISTENING       1528
  TCP    0.0.0.0:6661           0.0.0.0:0              LISTENING       125616
  TCP    0.0.0.0:6662           0.0.0.0:0              LISTENING       125616
  TCP    0.0.0.0:6663           0.0.0.0:0              LISTENING       125616
  TCP    0.0.0.0:8009           0.0.0.0:0              LISTENING       2716
  TCP    0.0.0.0:8080           0.0.0.0:0              LISTENING       2716
  TCP    0.0.0.0:13419          0.0.0.0:0              LISTENING       117692
  TCP    0.0.0.0:13435          0.0.0.0:0              LISTENING       125616
  TCP    0.0.0.0:50027          0.0.0.0:0              LISTENING       2452
  TCP    127.0.0.1:80           127.0.0.1:13653        TIME_WAIT       0
  TCP    127.0.0.1:80           127.0.0.1:13659        TIME_WAIT       0
  TCP    127.0.0.1:80           127.0.0.1:13776        TIME_WAIT       0
  TCP    127.0.0.1:80           127.0.0.1:13780        TIME_WAIT       0
  TCP    127.0.0.1:80           127.0.0.1:13846        TIME_WAIT       0
  TCP    127.0.0.1:80           127.0.0.1:13847        TIME_WAIT       0
  TCP    127.0.0.1:80           127.0.0.1:13848        TIME_WAIT       0
  TCP    127.0.0.1:80           127.0.0.1:13858        TIME_WAIT       0
  TCP    127.0.0.1:80           127.0.0.1:13859        TIME_WAIT       0
  TCP    127.0.0.1:80           127.0.0.1:13860        TIME_WAIT       0
  TCP    127.0.0.1:4012         0.0.0.0:0              LISTENING       86792
  TCP    127.0.0.1:4013         0.0.0.0:0              LISTENING       86792
  TCP    127.0.0.1:4300         0.0.0.0:0              LISTENING       2452
  TCP    127.0.0.1:4301         0.0.0.0:0              LISTENING       2452
  TCP    127.0.0.1:6661         127.0.0.1:13377        ESTABLISHED     125616
  TCP    127.0.0.1:6662         127.0.0.1:13660        TIME_WAIT       0
  TCP    127.0.0.1:6662         127.0.0.1:13777        TIME_WAIT       0
  TCP    127.0.0.1:6662         127.0.0.1:13781        TIME_WAIT       0
  TCP    127.0.0.1:6662         127.0.0.1:13849        TIME_WAIT       0
  TCP    127.0.0.1:6662         127.0.0.1:13850        TIME_WAIT       0
  TCP    127.0.0.1:6662         127.0.0.1:13851        TIME_WAIT       0
  TCP    127.0.0.1:6662         127.0.0.1:13861        TIME_WAIT       0
  TCP    127.0.0.1:6662         127.0.0.1:13862        TIME_WAIT       0
  TCP    127.0.0.1:6662         127.0.0.1:13863        TIME_WAIT       0
  TCP    127.0.0.1:8005         0.0.0.0:0              LISTENING       2716
  TCP    127.0.0.1:8080         127.0.0.1:13661        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:13782        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:13852        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:13864        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:13865        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:13866        TIME_WAIT       0
